Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,152,1003.3,0.00099669,111.31,126.66,0.38874,4.0818,4.1397,1527.2,-0.040096,852.71,0.61788,liquid,-1.23999999999999,14.01,-0.00432000000000005
300,153,1003.4,0.00099665,111.3,126.75,0.38871,4.0815,4.1394,1527.4,-0.040095,852.7,0.61793,liquid,-1.25,14.1,-0.00435000000000002
300,154,1003.4,0.00099661,111.29,126.84,0.38868,4.0812,4.1392,1527.6,-0.040094,852.7,0.61799,liquid,-1.25999999999999,14.19,-0.00438
300,155,1003.4,0.00099656,111.29,126.94,0.38865,4.0808,4.1389,1527.7,-0.040094,852.69,0.61804,liquid,-1.25999999999999,14.29,-0.00441000000000003
300,156,1003.5,0.00099652,111.28,127.03,0.38863,4.0805,4.1387,1527.9,-0.040093,852.69,0.6181,liquid,-1.27,14.38,-0.00443000000000005
300,157,1003.5,0.00099648,111.27,127.12,0.3886,4.0802,4.1384,1528.1,-0.040093,852.68,0.61815,liquid,-1.28,14.47,-0.00446000000000002
300,158,1003.6,0.00099643,111.26,127.21,0.38857,4.0799,4.1381,1528.2,-0.040092,852.68,0.6182,liquid,-1.28999999999999,14.56,-0.00448999999999999
300,159,1003.6,0.00099639,111.25,127.31,0.38854,4.0796,4.1379,1528.4,-0.040092,852.67,0.61826,liquid,-1.3,14.66,-0.00452000000000002
300,160,1003.7,0.00099634,111.24,127.4,0.38851,4.0793,4.1376,1528.6,-0.040091,852.67,0.61831,liquid,-1.31,14.75,-0.00455
300,161,1003.7,0.0009963,111.24,127.49,0.38848,4.079,4.1374,1528.7,-0.040091,852.67,0.61837,liquid,-1.31,14.84,-0.00458000000000003
300,162,1003.8,0.00099626,111.23,127.58,0.38845,4.0787,4.1371,1528.9,-0.04009,852.66,0.61842,liquid,-1.31999999999999,14.93,-0.00461
300,163,1003.8,0.00099621,111.22,127.67,0.38842,4.0784,4.1369,1529.1,-0.040089,852.66,0.61847,liquid,-1.33,15.02,-0.00464000000000003
300,164,1003.8,0.00099617,111.21,127.77,0.38839,4.0781,4.1366,1529.3,-0.040089,852.65,0.61853,liquid,-1.34,15.12,-0.00467000000000001
300,165,1003.9,0.00099613,111.2,127.86,0.38836,4.0778,4.1364,1529.4,-0.040088,852.65,0.61858,liquid,-1.34999999999999,15.21,-0.00470000000000004
300,166,1003.9,0.00099608,111.2,127.95,0.38833,4.0775,4.1361,1529.6,-0.040088,852.64,0.61864,liquid,-1.34999999999999,15.3,-0.00473000000000001
