Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
640,100,42.559,0.023497,2745.8,2983.9,6.0359,2.1822,3.618,551.39,1.4671,23.002,0.068736,vapor,2745.63941,2973.656,6.03540565
650,100,41.157,0.024297,2772.9,3019.1,6.0905,2.12,3.4281,561.1,1.4087,23.479,0.068605,vapor,2772.73941,3008.856,6.09000565
660,100,39.902,0.025061,2798.6,3052.6,6.1416,2.0692,3.2757,570.14,1.3526,23.949,0.068665,vapor,2798.43941,3042.356,6.14110565
670,100,38.767,0.025795,2823.3,3084.7,6.1899,2.0272,3.1513,578.63,1.2988,24.415,0.06888,vapor,2823.13941,3074.456,6.18940565
680,100,37.732,0.026503,2847.1,3115.7,6.2358,1.9923,3.0483,586.66,1.2474,24.875,0.069222,vapor,2846.93941,3105.456,6.23530565
690,100,36.78,0.027189,2870.2,3145.7,6.2797,1.9633,2.9621,594.28,1.1984,25.33,0.06967,vapor,2870.03941,3135.456,6.27920565
700,100,35.899,0.027856,2892.7,3174.9,6.3218,1.939,2.8892,601.57,1.1518,25.781,0.07021,vapor,2892.53941,3164.656,6.32130565
710,100,35.08,0.028507,2914.7,3203.5,6.3623,1.9186,2.8272,608.56,1.1073,26.228,0.070829,vapor,2914.53941,3193.256,6.36180565
720,100,34.314,0.029143,2936.2,3231.5,6.4015,1.9016,2.7741,615.28,1.0651,26.672,0.071518,vapor,2936.03941,3221.256,6.40100565
730,100,33.595,0.029767,2957.4,3259,6.4394,1.8874,2.7283,621.77,1.0249,27.111,0.072268,vapor,2957.23941,3248.756,6.43890565
740,100,32.918,0.030379,2978.3,3286.1,6.4762,1.8755,2.6887,628.05,0.98671,27.548,0.073074,vapor,2978.13941,3275.856,6.47570565
750,100,32.278,0.030981,2998.9,3312.8,6.5121,1.8657,2.6542,634.14,0.95038,27.982,0.073929,vapor,2998.73941,3302.556,6.51160565
760,100,31.671,0.031574,3019.3,3339.2,6.547,1.8577,2.6242,640.06,0.91581,28.413,0.074828,vapor,3019.13941,3328.956,6.54650565
770,100,31.095,0.032159,3039.5,3365.3,6.5812,1.8511,2.598,645.82,0.88292,28.841,0.075769,vapor,3039.33941,3355.056,6.58070565
780,100,30.547,0.032736,3059.5,3391.2,6.6145,1.8459,2.5751,651.44,0.8516,29.266,0.076747,vapor,3059.33941,3380.956,6.61400565
790,100,30.024,0.033307,3079.3,3416.8,6.6472,1.8419,2.555,656.93,0.82177,29.689,0.077759,vapor,3079.13941,3406.556,6.64670565
800,100,29.524,0.033871,3099.1,3442.3,6.6792,1.8389,2.5374,662.3,0.79334,30.11,0.078803,vapor,3098.93941,3432.056,6.67870565
810,100,29.045,0.03443,3118.7,3467.6,6.7107,1.8368,2.522,667.55,0.76623,30.528,0.079875,vapor,3118.53941,3457.356,6.71020565
820,100,28.585,0.034983,3138.3,3492.7,6.7415,1.8354,2.5085,672.7,0.74035,30.945,0.080975,vapor,3138.13941,3482.456,6.74100565
830,100,28.144,0.035532,3157.7,3517.8,6.7719,1.8348,2.4967,677.75,0.71565,31.359,0.082099,vapor,3157.53941,3507.556,6.77140565
840,100,27.72,0.036076,3177.1,3542.7,6.8017,1.8348,2.4865,682.71,0.69205,31.772,0.083247,vapor,3176.93941,3532.456,6.80120565
