Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
410,100,5.7201,0.17482,3839.8,5611.2,38.943,10.419,14.602,1612.8,-0.084492,11.149,0.24279,supercritical,3903.494,5553.599,43.0366
420,100,5.589,0.17892,3944.3,5757.2,39.295,10.422,14.6,1630.5,-0.085751,11.333,0.24679,supercritical,4007.994,5699.599,43.3886
430,100,5.464,0.18302,4048.8,5903.2,39.638,10.425,14.598,1647.9,-0.086948,11.515,0.25077,supercritical,4112.494,5845.599,43.7316
440,100,5.3444,0.18711,4153.3,6049.2,39.974,10.427,14.596,1665.2,-0.088084,11.696,0.25472,supercritical,4216.994,5991.599,44.0676
450,100,5.2301,0.1912,4257.8,6195.1,40.302,10.429,14.594,1682.3,-0.089164,11.876,0.25864,supercritical,4321.494,6137.499,44.3956
460,100,5.1206,0.19529,4362.3,6341,40.623,10.43,14.592,1699.2,-0.090191,12.055,0.26254,supercritical,4425.994,6283.399,44.7166
470,100,5.0156,0.19938,4466.7,6486.9,40.936,10.432,14.59,1716,-0.091167,12.233,0.26641,supercritical,4530.394,6429.299,45.0296
480,100,4.9149,0.20346,4571.2,6632.8,41.243,10.433,14.588,1732.6,-0.092094,12.41,0.27027,supercritical,4634.894,6575.199,45.3366
490,100,4.8181,0.20755,4675.7,6778.7,41.544,10.435,14.587,1749,-0.092976,12.587,0.2741,supercritical,4739.394,6721.099,45.6376
500,100,4.7252,0.21163,4780.2,6924.6,41.839,10.437,14.585,1765.2,-0.093815,12.762,0.27792,supercritical,4843.894,6866.999,45.9326
510,100,4.6358,0.21571,4884.7,7070.4,42.128,10.438,14.584,1781.3,-0.094612,12.937,0.28172,supercritical,4948.394,7012.799,46.2216
520,100,4.5497,0.2198,4989.2,7216.3,42.411,10.44,14.584,1797.3,-0.09537,13.11,0.28551,supercritical,5052.894,7158.699,46.5046
530,100,4.4668,0.22388,5093.7,7362.1,42.689,10.442,14.584,1813.1,-0.09609,13.283,0.28928,supercritical,5157.394,7304.499,46.7826
540,100,4.3869,0.22795,5198.2,7507.9,42.961,10.445,14.584,1828.8,-0.096775,13.455,0.29305,supercritical,5261.894,7450.299,47.0546
550,100,4.3098,0.23203,5302.7,7653.8,43.229,10.447,14.585,1844.3,-0.097425,13.627,0.2968,supercritical,5366.394,7596.199,47.3226
560,100,4.2353,0.23611,5407.3,7799.6,43.492,10.45,14.586,1859.6,-0.098043,13.797,0.30054,supercritical,5470.994,7741.999,47.5856
570,100,4.1635,0.24018,5511.8,7945.5,43.75,10.453,14.587,1874.9,-0.09863,13.967,0.30428,supercritical,5575.494,7887.899,47.8436
580,100,4.094,0.24426,5616.4,8091.4,44.004,10.457,14.589,1890,-0.099187,14.136,0.308,supercritical,5680.094,8033.799,48.0976
590,100,4.0269,0.24833,5721,8237.3,44.253,10.46,14.591,1904.9,-0.099716,14.304,0.31173,supercritical,5784.694,8179.699,48.3466
600,100,3.9619,0.25241,5825.7,8383.2,44.498,10.465,14.594,1919.8,-0.10022,14.472,0.31544,supercritical,5889.394,8325.599,48.5916
610,100,3.899,0.25648,5930.4,8529.1,44.74,10.469,14.597,1934.5,-0.10069,14.639,0.31915,supercritical,5994.094,8471.499,48.8336
620,100,3.838,0.26055,6035.1,8675.1,44.977,10.474,14.6,1949.1,-0.10114,14.805,0.32286,supercritical,6098.794,8617.499,49.0706
630,100,3.779,0.26462,6139.9,8821.2,45.211,10.479,14.604,1963.6,-0.10157,14.97,0.32657,supercritical,6203.594,8763.599,49.3046
640,100,3.7217,0.26869,6244.7,8967.2,45.441,10.484,14.608,1977.9,-0.10198,15.135,0.33027,supercritical,6308.394,8909.599,49.5346
650,100,3.6662,0.27276,6349.5,9113.3,45.667,10.49,14.613,1992.1,-0.10236,15.299,0.33397,supercritical,6413.194,9055.699,49.7606
660,100,3.6123,0.27683,6454.5,9259.5,45.89,10.496,14.618,2006.3,-0.10272,15.463,0.33768,supercritical,6518.194,9201.899,49.9836
670,100,3.5599,0.2809,6559.4,9405.7,46.11,10.502,14.624,2020.3,-0.10306,15.626,0.34138,supercritical,6623.094,9348.099,50.2036
680,100,3.5091,0.28497,6664.5,9552,46.327,10.509,14.629,2034.2,-0.10338,15.788,0.34508,supercritical,6728.194,9494.399,50.4206
690,100,3.4597,0.28904,6769.6,9698.3,46.54,10.516,14.636,2047.9,-0.10369,15.95,0.34878,supercritical,6833.294,9640.699,50.6336
700,100,3.4117,0.29311,6874.7,9844.7,46.751,10.523,14.642,2061.6,-0.10397,16.111,0.35249,supercritical,6938.394,9787.099,50.8446
710,100,3.365,0.29718,6980,9991.1,46.959,10.531,14.649,2075.2,-0.10424,16.271,0.35619,supercritical,7043.694,9933.499,51.0526
720,100,3.3196,0.30125,7085.3,10138,47.164,10.539,14.656,2088.7,-0.10449,16.431,0.3599,supercritical,7148.994,10080.399,51.2576
730,100,3.2753,0.30531,7190.7,10284,47.366,10.547,14.664,2102,-0.10473,16.59,0.36361,supercritical,7254.394,10226.399,51.4596
740,100,3.2323,0.30938,7296.1,10431,47.566,10.556,14.672,2115.3,-0.10495,16.749,0.36733,supercritical,7359.794,10373.399,51.6596
750,100,3.1903,0.31345,7401.7,10578,47.763,10.565,14.68,2128.5,-0.10516,16.907,0.37105,supercritical,7465.394,10520.399,51.8566
760,100,3.1495,0.31751,7507.3,10725,47.957,10.574,14.689,2141.6,-0.10535,17.065,0.37477,supercritical,7570.994,10667.399,52.0506
770,100,3.1097,0.32158,7613.1,10871,48.149,10.584,14.698,2154.6,-0.10553,17.222,0.37849,supercritical,7676.794,10813.399,52.2426
780,100,3.0708,0.32564,7718.9,11018,48.339,10.594,14.708,2167.4,-0.10569,17.379,0.38223,supercritical,7782.594,10960.399,52.4326
790,100,3.033,0.32971,7824.8,11166,48.526,10.604,14.717,2180.2,-0.10584,17.535,0.38596,supercritical,7888.494,11108.399,52.6196
800,100,2.996,0.33377,7930.9,11313,48.711,10.615,14.728,2192.9,-0.10598,17.69,0.3897,supercritical,7994.594,11255.399,52.8046
810,100,2.96,0.33784,8037,11460,48.894,10.625,14.738,2205.6,-0.10611,17.845,0.39345,supercritical,8100.694,11402.399,52.9876
820,100,2.9248,0.3419,8143.3,11608,49.075,10.637,14.749,2218.1,-0.10623,18,0.3972,supercritical,8206.994,11550.399,53.1686
830,100,2.8904,0.34597,8249.6,11755,49.254,10.648,14.76,2230.5,-0.10633,18.154,0.40096,supercritical,8313.294,11697.399,53.3476
840,100,2.8569,0.35003,8356.1,11903,49.431,10.66,14.772,2242.9,-0.10642,18.307,0.40472,supercritical,8419.794,11845.399,53.5246
