Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,254,262.03,0.0038163,176.58,274.8,5.0679,0.78866,1.3364,458.1,0.079127,25.236,0.041352,supercritical,-45.59,-36.39,-1.7738
300,255,262.85,0.0038044,176.44,274.74,5.0665,0.78879,1.3369,458.69,0.078327,25.273,0.041421,supercritical,-45.73,-36.45,-1.7752
300,256,263.67,0.0037927,176.31,274.68,5.065,0.78891,1.3374,459.28,0.077531,25.31,0.04149,supercritical,-45.86,-36.51,-1.7767
300,257,264.48,0.003781,176.17,274.63,5.0635,0.78904,1.3378,459.87,0.076738,25.347,0.041559,supercritical,-46,-36.56,-1.7782
300,258,265.29,0.0037694,176.03,274.57,5.0621,0.78916,1.3383,460.46,0.075949,25.384,0.041628,supercritical,-46.14,-36.62,-1.7796
300,259,266.1,0.003758,175.89,274.51,5.0606,0.78928,1.3387,461.05,0.075164,25.421,0.041697,supercritical,-46.28,-36.68,-1.7811
300,260,266.91,0.0037466,175.76,274.46,5.0591,0.78941,1.3391,461.64,0.074382,25.458,0.041766,supercritical,-46.41,-36.73,-1.7826
300,261,267.71,0.0037353,175.62,274.4,5.0577,0.78953,1.3396,462.23,0.073603,25.495,0.041836,supercritical,-46.55,-36.79,-1.784
300,262,268.52,0.0037241,175.48,274.35,5.0563,0.78965,1.34,462.82,0.072828,25.532,0.041905,supercritical,-46.69,-36.84,-1.7854
300,263,269.32,0.0037131,175.35,274.29,5.0548,0.78978,1.3404,463.41,0.072057,25.569,0.041974,supercritical,-46.82,-36.9,-1.7869
300,264,270.12,0.0037021,175.21,274.24,5.0534,0.7899,1.3409,464,0.071289,25.606,0.042043,supercritical,-46.96,-36.95,-1.7883
300,265,270.92,0.0036912,175.08,274.19,5.052,0.79002,1.3413,464.59,0.070525,25.643,0.042112,supercritical,-47.09,-37,-1.7897
300,266,271.71,0.0036804,174.94,274.14,5.0505,0.79014,1.3417,465.19,0.069764,25.68,0.042181,supercritical,-47.23,-37.05,-1.7912
300,267,272.51,0.0036696,174.81,274.08,5.0491,0.79027,1.3421,465.78,0.069007,25.717,0.042251,supercritical,-47.36,-37.11,-1.7926
300,268,273.3,0.003659,174.67,274.03,5.0477,0.79039,1.3425,466.37,0.068253,25.754,0.04232,supercritical,-47.5,-37.16,-1.794
300,269,274.09,0.0036484,174.54,273.98,5.0463,0.79051,1.3429,466.97,0.067502,25.792,0.042389,supercritical,-47.63,-37.21,-1.7954
300,270,274.88,0.003638,174.41,273.93,5.0449,0.79063,1.3433,467.56,0.066756,25.829,0.042458,supercritical,-47.76,-37.26,-1.7968
300,271,275.66,0.0036276,174.27,273.88,5.0435,0.79075,1.3437,468.16,0.066012,25.866,0.042527,supercritical,-47.9,-37.31,-1.7982
300,272,276.45,0.0036173,174.14,273.83,5.0421,0.79087,1.3441,468.75,0.065272,25.903,0.042597,supercritical,-48.03,-37.36,-1.7996
300,273,277.23,0.0036071,174.01,273.79,5.0408,0.79099,1.3445,469.35,0.064535,25.94,0.042666,supercritical,-48.16,-37.4,-1.8009
300,274,278.01,0.003597,173.88,273.74,5.0394,0.79111,1.3449,469.95,0.063802,25.978,0.042735,supercritical,-48.29,-37.45,-1.8023
300,275,278.79,0.0035869,173.74,273.69,5.038,0.79123,1.3452,470.54,0.063072,26.015,0.042804,supercritical,-48.43,-37.5,-1.8037
300,276,279.57,0.0035769,173.61,273.64,5.0366,0.79135,1.3456,471.14,0.062346,26.052,0.042873,supercritical,-48.56,-37.55,-1.8051
300,277,280.34,0.003567,173.48,273.6,5.0353,0.79147,1.346,471.74,0.061622,26.089,0.042942,supercritical,-48.69,-37.59,-1.8064
300,278,281.12,0.0035572,173.35,273.55,5.0339,0.79159,1.3463,472.33,0.060903,26.127,0.043012,supercritical,-48.82,-37.64,-1.8078
300,279,281.89,0.0035475,173.22,273.51,5.0326,0.79171,1.3467,472.93,0.060186,26.164,0.043081,supercritical,-48.95,-37.68,-1.8091
300,280,282.66,0.0035378,173.09,273.46,5.0312,0.79183,1.3471,473.53,0.059473,26.201,0.04315,supercritical,-49.08,-37.73,-1.8105
300,281,283.43,0.0035282,172.96,273.42,5.0299,0.79195,1.3474,474.13,0.058763,26.239,0.043219,supercritical,-49.21,-37.77,-1.8118
300,282,284.19,0.0035187,172.83,273.37,5.0286,0.79207,1.3478,474.73,0.058056,26.276,0.043288,supercritical,-49.34,-37.82,-1.8131
300,283,284.96,0.0035093,172.7,273.33,5.0272,0.79219,1.3481,475.33,0.057353,26.314,0.043357,supercritical,-49.47,-37.86,-1.8145
300,284,285.72,0.0034999,172.57,273.29,5.0259,0.79231,1.3485,475.92,0.056653,26.351,0.043427,supercritical,-49.6,-37.9,-1.8158
300,285,286.48,0.0034906,172.44,273.24,5.0246,0.79243,1.3488,476.52,0.055956,26.388,0.043496,supercritical,-49.73,-37.95,-1.8171
300,286,287.24,0.0034814,172.32,273.2,5.0233,0.79254,1.3491,477.12,0.055263,26.426,0.043565,supercritical,-49.85,-37.99,-1.8184
300,287,288,0.0034723,172.19,273.16,5.022,0.79266,1.3495,477.72,0.054572,26.463,0.043634,supercritical,-49.98,-38.03,-1.8197
300,288,288.75,0.0034632,172.06,273.12,5.0206,0.79278,1.3498,478.32,0.053885,26.501,0.043703,supercritical,-50.11,-38.07,-1.8211
300,289,289.5,0.0034542,171.93,273.08,5.0193,0.7929,1.3501,478.93,0.053201,26.538,0.043772,supercritical,-50.24,-38.11,-1.8224
300,290,290.25,0.0034453,171.81,273.04,5.018,0.79301,1.3505,479.53,0.052521,26.576,0.043841,supercritical,-50.36,-38.15,-1.8237
300,291,291,0.0034364,171.68,273,5.0168,0.79313,1.3508,480.13,0.051843,26.613,0.04391,supercritical,-50.49,-38.19,-1.8249
300,292,291.75,0.0034276,171.55,272.96,5.0155,0.79325,1.3511,480.73,0.051169,26.651,0.043979,supercritical,-50.62,-38.23,-1.8262
300,293,292.5,0.0034188,171.43,272.93,5.0142,0.79336,1.3514,481.33,0.050497,26.688,0.044048,supercritical,-50.74,-38.26,-1.8275
300,294,293.24,0.0034102,171.3,272.89,5.0129,0.79348,1.3517,481.93,0.049829,26.726,0.044117,supercritical,-50.87,-38.3,-1.8288
300,295,293.98,0.0034015,171.18,272.85,5.0116,0.7936,1.352,482.53,0.049164,26.764,0.044186,supercritical,-50.99,-38.34,-1.8301
300,296,294.72,0.003393,171.05,272.81,5.0104,0.79371,1.3523,483.14,0.048502,26.801,0.044255,supercritical,-51.12,-38.38,-1.8313
300,297,295.46,0.0033845,170.93,272.78,5.0091,0.79383,1.3526,483.74,0.047843,26.839,0.044324,supercritical,-51.24,-38.41,-1.8326
300,298,296.2,0.0033761,170.8,272.74,5.0078,0.79394,1.3529,484.34,0.047188,26.877,0.044393,supercritical,-51.37,-38.45,-1.8339
300,299,296.94,0.0033677,170.68,272.71,5.0066,0.79406,1.3532,484.95,0.046535,26.914,0.044462,supercritical,-51.49,-38.48,-1.8351
300,300,297.67,0.0033594,170.55,272.67,5.0053,0.79417,1.3535,485.55,0.045885,26.952,0.044531,supercritical,-51.62,-38.52,-1.8364
