Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
410,100,80.102,0.012484,291.42,417.91,5.7709,0.75976,1.1163,441.53,0.10123,23.885,0.036942,supercritical,445.31,560.33,3.3966
420,100,78.107,0.012803,299.33,429.06,5.7978,0.76015,1.1132,446.49,0.091634,24.238,0.03748,supercritical,453.22,571.48,3.4235
430,100,76.217,0.01312,307.23,440.18,5.8239,0.76066,1.1105,451.37,0.082495,24.59,0.038019,supercritical,461.12,582.6,3.4496
440,100,74.424,0.013437,315.12,451.27,5.8494,0.7613,1.1082,456.18,0.073781,24.94,0.038557,supercritical,469.01,593.69,3.4751
450,100,72.719,0.013752,323,462.34,5.8743,0.76204,1.1063,460.9,0.065468,25.288,0.039095,supercritical,476.89,604.76,3.5
460,100,71.096,0.014065,330.88,473.4,5.8986,0.76289,1.1046,465.55,0.05753,25.635,0.039632,supercritical,484.77,615.82,3.5243
470,100,69.549,0.014378,338.75,484.44,5.9223,0.76385,1.1033,470.13,0.049946,25.98,0.040169,supercritical,492.64,626.86,3.548
480,100,68.073,0.01469,346.62,495.46,5.9456,0.76492,1.1022,474.64,0.042697,26.324,0.040704,supercritical,500.51,637.88,3.5713
490,100,66.662,0.015001,354.48,506.48,5.9683,0.76608,1.1013,479.08,0.035762,26.665,0.041239,supercritical,508.37,648.9,3.594
500,100,65.311,0.015311,362.35,517.49,5.9905,0.76733,1.1007,483.47,0.029125,27.004,0.041772,supercritical,516.24,659.91,3.6162
510,100,64.018,0.015621,370.22,528.5,6.0123,0.76868,1.1003,487.79,0.022769,27.342,0.042305,supercritical,524.11,670.92,3.638
520,100,62.778,0.015929,378.1,539.5,6.0337,0.77011,1.1002,492.05,0.016681,27.678,0.042835,supercritical,531.99,681.92,3.6594
530,100,61.587,0.016237,385.98,550.5,6.0546,0.77162,1.1002,496.25,0.010846,28.012,0.043365,supercritical,539.87,692.92,3.6803
540,100,60.443,0.016544,393.87,561.5,6.0752,0.77321,1.1003,500.4,0.0052506,28.343,0.043893,supercritical,547.76,703.92,3.7009
550,100,59.343,0.016851,401.76,572.51,6.0954,0.77488,1.1006,504.5,-0.00011656,28.673,0.04442,supercritical,555.65,714.93,3.7211
560,100,58.284,0.017157,409.67,583.52,6.1152,0.77661,1.1011,508.55,-0.0052671,29.002,0.044945,supercritical,563.56,725.94,3.7409
570,100,57.265,0.017463,417.59,594.53,6.1347,0.77841,1.1017,512.54,-0.010211,29.328,0.045468,supercritical,571.48,736.95,3.7604
580,100,56.282,0.017768,425.52,605.55,6.1539,0.78027,1.1025,516.49,-0.01496,29.652,0.04599,supercritical,579.41,747.97,3.7796
590,100,55.333,0.018072,433.46,616.58,6.1727,0.78219,1.1034,520.4,-0.019521,29.975,0.04651,supercritical,587.35,759,3.7984
600,100,54.418,0.018376,441.42,627.62,6.1913,0.78416,1.1043,524.26,-0.023905,30.295,0.047029,supercritical,595.31,770.04,3.817
610,100,53.533,0.01868,449.39,638.67,6.2096,0.78618,1.1054,528.08,-0.028119,30.614,0.047546,supercritical,603.28,781.09,3.8353
620,100,52.678,0.018983,457.38,649.73,6.2275,0.78825,1.1066,531.85,-0.032172,30.931,0.048061,supercritical,611.27,792.15,3.8532
630,100,51.851,0.019286,465.38,660.8,6.2453,0.79036,1.1079,535.59,-0.03607,31.246,0.048575,supercritical,619.27,803.22,3.871
640,100,51.05,0.019589,473.4,671.88,6.2627,0.7925,1.1092,539.29,-0.039821,31.56,0.049087,supercritical,627.29,814.3,3.8884
650,100,50.275,0.019891,481.44,682.98,6.2799,0.79468,1.1106,542.95,-0.043431,31.872,0.049597,supercritical,635.33,825.4,3.9056
660,100,49.523,0.020193,489.5,694.1,6.2969,0.79689,1.1121,546.58,-0.046908,32.182,0.050106,supercritical,643.39,836.52,3.9226
670,100,48.795,0.020494,497.57,705.23,6.3136,0.79913,1.1137,550.17,-0.050256,32.49,0.050613,supercritical,651.46,847.65,3.9393
680,100,48.088,0.020795,505.66,716.37,6.3301,0.80139,1.1153,553.72,-0.053481,32.797,0.051119,supercritical,659.55,858.79,3.9558
690,100,47.402,0.021096,513.78,727.53,6.3464,0.80367,1.1169,557.25,-0.056589,33.102,0.051623,supercritical,667.67,869.95,3.9721
700,100,46.737,0.021397,521.91,738.71,6.3625,0.80597,1.1186,560.74,-0.059586,33.406,0.052126,supercritical,675.8,881.13,3.9882
710,100,46.09,0.021697,530.06,749.9,6.3784,0.80829,1.1204,564.21,-0.062475,33.708,0.052627,supercritical,683.95,892.32,4.0041
720,100,45.461,0.021997,538.23,761.12,6.3941,0.81062,1.1222,567.64,-0.065262,34.008,0.053126,supercritical,692.12,903.54,4.0198
730,100,44.85,0.022297,546.43,772.35,6.4096,0.81295,1.124,571.04,-0.06795,34.307,0.053624,supercritical,700.32,914.77,4.0353
740,100,44.255,0.022596,554.64,783.6,6.4249,0.8153,1.1259,574.42,-0.070545,34.604,0.05412,supercritical,708.53,926.02,4.0506
750,100,43.676,0.022896,562.88,794.87,6.44,0.81765,1.1278,577.77,-0.07305,34.9,0.054615,supercritical,716.77,937.29,4.0657
760,100,43.113,0.023195,571.13,806.15,6.4549,0.82001,1.1297,581.1,-0.075468,35.195,0.055109,supercritical,725.02,948.57,4.0806
770,100,42.564,0.023494,579.41,817.46,6.4697,0.82236,1.1316,584.4,-0.077805,35.488,0.055601,supercritical,733.3,959.88,4.0954
780,100,42.03,0.023793,587.71,828.78,6.4843,0.82471,1.1335,587.67,-0.080062,35.78,0.056091,supercritical,741.6,971.2,4.11
790,100,41.509,0.024091,596.03,840.13,6.4988,0.82707,1.1355,590.92,-0.082243,36.07,0.05658,supercritical,749.92,982.55,4.1245
800,100,41.001,0.024389,604.37,851.49,6.5131,0.82941,1.1374,594.15,-0.084352,36.359,0.057068,supercritical,758.26,993.91,4.1388
810,100,40.506,0.024688,612.73,862.88,6.5272,0.83175,1.1394,597.36,-0.086392,36.646,0.057554,supercritical,766.62,1005.3,4.1529
820,100,40.023,0.024986,621.11,874.28,6.5412,0.83409,1.1414,600.54,-0.088364,36.933,0.058039,supercritical,775,1016.7,4.1669
830,100,39.551,0.025284,629.52,885.71,6.5551,0.83641,1.1434,603.7,-0.090273,37.218,0.058523,supercritical,783.41,1028.13,4.1808
840,100,39.091,0.025581,637.95,897.15,6.5688,0.83872,1.1454,606.84,-0.09212,37.501,0.059005,supercritical,791.84,1039.57,4.1945
850,100,38.642,0.025879,646.4,908.61,6.5823,0.84102,1.1474,609.97,-0.093908,37.784,0.059486,supercritical,800.29,1051.03,4.208
860,100,38.202,0.026176,654.87,920.1,6.5958,0.84331,1.1494,613.07,-0.095639,38.065,0.059966,supercritical,808.76,1062.52,4.2215
870,100,37.773,0.026474,663.36,931.6,6.6091,0.84559,1.1514,616.15,-0.097316,38.345,0.060445,supercritical,817.25,1074.02,4.2348
880,100,37.354,0.026771,671.87,943.13,6.6222,0.84785,1.1534,619.22,-0.098941,38.624,0.060922,supercritical,825.76,1085.55,4.2479
890,100,36.944,0.027068,680.4,954.67,6.6353,0.85009,1.1553,622.26,-0.10052,38.902,0.061398,supercritical,834.29,1097.09,4.261
900,100,36.543,0.027365,688.96,966.23,6.6482,0.85232,1.1573,625.29,-0.10204,39.178,0.061873,supercritical,842.85,1108.65,4.2739
