Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
1830,100,18.27,0.054736,1552.5,2107.1,7.5138,0.97768,1.275,859.36,-0.15517,61.768,0.10275,supercritical,1706.39,2249.52,5.1395
1840,100,18.172,0.055029,1562.3,2119.8,7.5208,0.97838,1.2757,861.54,-0.15536,61.99,0.10317,supercritical,1716.19,2262.22,5.1465
1850,100,18.076,0.055322,1572.1,2132.6,7.5277,0.97908,1.2763,863.7,-0.15554,62.212,0.10359,supercritical,1725.99,2275.02,5.1534
1860,100,17.981,0.055616,1581.8,2145.4,7.5346,0.97976,1.277,865.87,-0.15571,62.434,0.10401,supercritical,1735.69,2287.82,5.1603
1870,100,17.886,0.055909,1591.6,2158.1,7.5414,0.98044,1.2777,868.02,-0.15589,62.656,0.10443,supercritical,1745.49,2300.52,5.1671
1880,100,17.793,0.056202,1601.5,2170.9,7.5482,0.98111,1.2783,870.17,-0.15606,62.877,0.10485,supercritical,1755.39,2313.32,5.1739
1890,100,17.701,0.056495,1611.3,2183.7,7.555,0.98177,1.279,872.32,-0.15623,63.098,0.10527,supercritical,1765.19,2326.12,5.1807
1900,100,17.609,0.056788,1621.1,2196.5,7.5618,0.98242,1.2796,874.46,-0.15639,63.319,0.10568,supercritical,1774.99,2338.92,5.1875
1910,100,17.519,0.057081,1630.9,2209.3,7.5685,0.98307,1.2802,876.6,-0.15656,63.54,0.1061,supercritical,1784.79,2351.72,5.1942
1920,100,17.429,0.057374,1640.8,2222.1,7.5752,0.98371,1.2808,878.73,-0.15672,63.761,0.10652,supercritical,1794.69,2364.52,5.2009
1930,100,17.341,0.057667,1650.6,2234.9,7.5818,0.98434,1.2815,880.86,-0.15687,63.981,0.10694,supercritical,1804.49,2377.32,5.2075
1940,100,17.253,0.05796,1660.5,2247.7,7.5885,0.98497,1.2821,882.98,-0.15703,64.201,0.10735,supercritical,1814.39,2390.12,5.2142
1950,100,17.166,0.058253,1670.3,2260.6,7.5951,0.98558,1.2827,885.09,-0.15718,64.421,0.10777,supercritical,1824.19,2403.02,5.2208
1960,100,17.08,0.058547,1680.2,2273.4,7.6016,0.98619,1.2833,887.2,-0.15733,64.64,0.10819,supercritical,1834.09,2415.82,5.2273
1970,100,16.995,0.05884,1690,2286.2,7.6081,0.9868,1.2839,889.31,-0.15747,64.86,0.1086,supercritical,1843.89,2428.62,5.2338
1980,100,16.911,0.059133,1699.9,2299.1,7.6146,0.9874,1.2844,891.41,-0.15762,65.079,0.10902,supercritical,1853.79,2441.52,5.2403
1990,100,16.828,0.059426,1709.8,2311.9,7.6211,0.98799,1.285,893.51,-0.15776,65.298,0.10943,supercritical,1863.69,2454.32,5.2468
2000,100,16.745,0.059719,1719.7,2324.8,7.6276,0.98857,1.2856,895.6,-0.1579,65.517,0.10985,supercritical,1873.59,2467.22,5.2533
