Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,144,10.835,0.092292,2683.3,4029.9,32.85,10.304,14.631,1444.8,-0.069293,9.1501,0.19858,supercritical,-36.8999999999996,71.5999999999999,-20.614
300,145,10.904,0.091709,2683,4030.5,32.821,10.305,14.633,1445.7,-0.069384,9.1524,0.19864,supercritical,-37.1999999999998,72.1999999999998,-20.643
300,146,10.973,0.091134,2682.8,4031,32.792,10.305,14.635,1446.6,-0.069475,9.1546,0.19871,supercritical,-37.3999999999996,72.6999999999998,-20.672
300,147,11.042,0.090567,2682.6,4031.6,32.763,10.306,14.636,1447.5,-0.069566,9.1569,0.19877,supercritical,-37.5999999999999,73.2999999999997,-20.701
300,148,11.11,0.090008,2682.4,4032.1,32.734,10.307,14.638,1448.4,-0.069657,9.1592,0.19884,supercritical,-37.7999999999997,73.7999999999997,-20.73
300,149,11.179,0.089456,2682.2,4032.7,32.706,10.308,14.64,1449.3,-0.069747,9.1615,0.1989,supercritical,-38,74.3999999999996,-20.758
300,150,11.247,0.088911,2681.9,4033.3,32.678,10.309,14.641,1450.2,-0.069837,9.1638,0.19897,supercritical,-38.2999999999997,75,-20.786
300,151,11.316,0.088374,2681.7,4033.9,32.65,10.309,14.643,1451,-0.069927,9.1661,0.19903,supercritical,-38.5,75.5999999999999,-20.814
300,152,11.384,0.087843,2681.5,4034.4,32.622,10.31,14.645,1451.9,-0.070016,9.1684,0.1991,supercritical,-38.6999999999998,76.0999999999999,-20.842
300,153,11.452,0.08732,2681.3,4035,32.594,10.311,14.646,1452.8,-0.070105,9.1708,0.19916,supercritical,-38.8999999999996,76.6999999999998,-20.87
300,154,11.52,0.086803,2681.1,4035.6,32.567,10.312,14.648,1453.7,-0.070194,9.1731,0.19923,supercritical,-39.0999999999999,77.2999999999997,-20.897
300,155,11.588,0.086294,2680.9,4036.1,32.539,10.313,14.649,1454.6,-0.070283,9.1754,0.19929,supercritical,-39.2999999999997,77.7999999999997,-20.925
300,156,11.656,0.08579,2680.6,4036.7,32.512,10.313,14.651,1455.5,-0.070371,9.1778,0.19936,supercritical,-39.5999999999999,78.3999999999996,-20.952
300,157,11.724,0.085293,2680.4,4037.3,32.485,10.314,14.653,1456.4,-0.070459,9.1802,0.19943,supercritical,-39.7999999999997,79,-20.979
300,158,11.792,0.084803,2680.2,4037.9,32.458,10.315,14.654,1457.3,-0.070547,9.1825,0.19949,supercritical,-40,79.5999999999999,-21.006
300,159,11.86,0.084318,2680,4038.4,32.432,10.316,14.656,1458.2,-0.070635,9.1849,0.19956,supercritical,-40.1999999999998,80.0999999999999,-21.032
300,160,11.927,0.08384,2679.8,4039,32.405,10.317,14.657,1459.1,-0.070722,9.1873,0.19962,supercritical,-40.3999999999996,80.6999999999998,-21.059
300,161,11.995,0.083368,2679.6,4039.6,32.379,10.317,14.659,1460,-0.070809,9.1897,0.19969,supercritical,-40.5999999999999,81.2999999999997,-21.085
300,162,12.063,0.082901,2679.4,4040.2,32.353,10.318,14.661,1460.9,-0.070896,9.1921,0.19975,supercritical,-40.7999999999997,81.8999999999996,-21.111
300,163,12.13,0.082441,2679.1,4040.7,32.327,10.319,14.662,1461.8,-0.070983,9.1945,0.19982,supercritical,-41.0999999999999,82.3999999999996,-21.137
300,164,12.197,0.081986,2678.9,4041.3,32.301,10.32,14.664,1462.7,-0.071069,9.1969,0.19989,supercritical,-41.2999999999997,83,-21.163
300,165,12.265,0.081536,2678.7,4041.9,32.275,10.321,14.665,1463.6,-0.071155,9.1994,0.19995,supercritical,-41.5,83.5999999999999,-21.189
300,166,12.332,0.081092,2678.5,4042.5,32.25,10.321,14.667,1464.5,-0.071241,9.2018,0.20002,supercritical,-41.6999999999998,84.1999999999998,-21.214
300,167,12.399,0.080653,2678.3,4043.1,32.224,10.322,14.668,1465.4,-0.071326,9.2043,0.20009,supercritical,-41.8999999999996,84.7999999999997,-21.24
300,168,12.466,0.080219,2678.1,4043.6,32.199,10.323,14.67,1466.3,-0.071411,9.2067,0.20015,supercritical,-42.0999999999999,85.2999999999997,-21.265
300,169,12.533,0.079791,2677.9,4044.2,32.174,10.324,14.671,1467.2,-0.071496,9.2092,0.20022,supercritical,-42.2999999999997,85.8999999999996,-21.29
