phi,v
1.03125041147713,47.25089873287
1.03475771368138,47.7233153542578
1.03759695832293,48.1629599759738
1.04098691851994,48.611364987122
1.04555157539365,49.4065387464125
1.04173752342517,48.8899101792519
1.04924623115578,49.9283567134269
1.05226638897089,50.4255129313932
1.05510563361244,50.8584493605244
1.05794487825398,51.2919018044697
1.06078412289552,51.7246662286628
1.06373220524832,52.1657832126487
1.06659037818747,52.6056755214755
1.06965676240034,53.0421446674117
1.07273261076201,53.4832182532286
1.07580845912368,53.9252444817794
1.07888430748535,54.3664768413853
1.08196015584702,54.8027872135325
1.08514116141764,55.2331465088479
1.08824329908154,55.6638468737841
1.09185171782401,56.1108476350022
1.09605250425077,56.8655721672521
1.09355373813332,56.3630889927046
1.1,57.2755511022044
1.10538392413974,57.9017763667353
1.10893297994167,58.34403546351
1.1124820357436,58.7857441444829
1.11613031246042,59.225313305968
1.11971753015269,59.6534391453795
1.12348410872957,60.0820851610149
1.12726976825163,60.5183756864385
1.13115222020465,60.9583604088275
1.13507769101587,61.3932256847776
1.13909995425806,61.8208501967035
1.14434002206108,62.3069443399037
1.14814555311618,62.713464324101
1.15131659300736,63.1271487814593
1.15575493774656,63.5306853827698
1.16006496226998,63.9583361466417
1.16462585560269,64.3948410524403
1.16926692857444,64.8243903074063
1.17399900297701,65.2475224550672
1.17873107737958,65.6702417908768
1.18290643714656,66.0675914101142
1.18814972546931,66.5409334336349
1.19512043507002,66.9475286359388
1.19972031792046,67.3198892391538
1.20357446799308,67.8052284057453
1.20913465541609,68.2187357553497
1.21493144655924,68.6444066958966
1.22108314328258,69.0698353005975
1.22747144372605,69.493808361289
1.23409634788965,69.9225632910635
1.24356049669479,70.2951637309611
1.25058412194231,70.614001915259
1.25598219200154,71.1955645109635
1.26402671848591,71.6208821331317
1.27242615055047,72.0377335027041
1.28141709191535,72.4618197234935
1.29270064174079,72.7627676166644
1.31264878297232,73.7167051062376
1.32447896897874,74.1129301476914
1.33748853352858,74.4077301115283
1.36067933815841,75.0854663034343
1.37274612788496,75.3329105837594
1.38481291761151,75.544496893465
1.40815135341501,75.7870955050564
1.42101328679118,75.9721214053909
1.43308007651773,76.04982716565
1.44514686624428,76.0959649608039
1.45721365597084,76.1169293273738
1.46928044569739,76.1079445988438
1.48134723542395,76.0708724757202
1.5,76.003006012024
1.51707439716335,75.8299036754167
1.5291411868899,75.7060601200037
1.54120797661646,75.5596333280155
1.55327476634301,75.3975844404751
1.56534155606957,75.2144902428646
1.57740834579612,75.0126171531914
1.58947513552267,74.7790542386431
1.60603015075377,74.4774549098196
1.62259965634067,74.1088020291777
1.63466644606722,73.8316514842535
1.64673323579377,73.5388788437772
1.65880002552033,73.2293508987451
1.67086681524688,72.9070338806704
1.68293360497344,72.5737894900592
1.69500039469999,72.1897092241857
1.7096876822325,71.7510324090044
1.72197321879464,71.4076364816706
1.73404000852119,71.0231548553886
1.74610679824775,70.6293647265755
1.7581735879743,70.2264279822319
1.77024037770086,69.8170157578667
1.78218886556735,69.4019164431725
1.79413735343384,68.9556313371801
1.80643581763635,68.5972584806233
1.81732451800643,68.1528438228481
1.82879979843266,67.7342838472656
1.84015677699883,67.314419793428
1.851513755565,66.8930936976169
1.86263413041104,66.4757050191925
1.87363620339702,66.0556126331753
1.88463827638299,65.6307868494729
1.89378780381483,65.2936653201199
1.90685057372898,64.7936689854379
1.91882751394156,64.2847649486861
1.92935637948728,63.8614597536329
1.93976694317293,63.4427371871116
1.95005920499852,63.0226465813155
1.96023316496405,62.603402545278
1.97040712492958,62.1844465175089
1.9805810848951,61.7660665062766
1.98992693184018,61.3755583174361
1.99931668463023,60.9243733166371
2.00791169998117,60.6511651573443
2.01701805779489,60.2540230971649
2.02719201776042,59.8327630032486
2.03736597772594,59.4092948459412
2.04753993769147,58.9879387492688
2.05759559579693,58.5699221770418
2.06776955576246,58.1492695810856
2.07806181758805,57.7253105005934
2.08811747569351,57.3065213347576
2.09557049287756,56.9948483869683
