phi,rho
0.600021700033214,0.0938272896588292
0.699943409937419,0.0908772281050547
0.7999182140331,0.0881287971175301
0.900008834770637,0.0855592960316714
0.999973860592924,0.0831553724710021
1.10062795910505,0.0809127137006786
1.2001024136571,0.0787740470637323
1.30009729264067,0.0767823976924972
1.40006858417484,0.0748850251352802
1.50013092759853,0.0730942920195796
1.60013982194831,0.0713929755974357
1.70018790837769,0.0697961477188573
1.80015098925468,0.0682617206425684
1.90024442517473,0.0667983274652855
2.00020792241352,0.0654211314271872
2.25029908717614,0.062234301401398
2.50036957393523,0.0593737085440568
3,0.0544694183156731
