Pressure (atm),Cantera GRI Density @160K (kg/m³),Deviation (GRI vs HEOS) (%),VdW Predicted Density @160K (kg/m³),Deviation (VdW vs HEOS) (%),CP PR Density @160K (kg/m³),Deviation (PR vs HEOS) (%),CP SRK Density @160K (kg/m³),Deviation (SRK vs HEOS) (%),CP HEOS Density @160K (kg/m³),Notes
4200000.0,62.06755801821428,-82.46996893560417,62.06755801821428,-82.46996893560417,374.782880755884,5.8516840653919,374.782880755884,5.8516840653919,354.06416446275404,
4300000.0,63.54535701864794,-82.12904293477646,63.54535701864794,-82.12904293477646,376.57391332533047,5.904452388949327,376.57391332533047,5.904452388949327,355.57892499392625,
4400000.0,65.02315601908163,-81.78771523798677,65.02315601908163,-81.78771523798677,378.31105924165104,5.960847817136085,378.31105924165104,5.960847817136085,357.02909804433466,
4500000.0,66.5009550195153,-81.4461297773831,66.5009550195153,-81.4461297773831,379.99799682493983,6.020034086357278,379.99799682493983,6.020034086357278,358.42093440133897,
4600000.000000001,67.97875401994898,-81.10440360591558,67.97875401994898,-81.10440360591558,381.6380154336155,6.0813486836893125,381.6380154336155,6.0813486836893125,359.7597694308866,
4700000.0,69.45655302038264,-80.7626326457117,69.45655302038264,-80.7626326457117,383.23407020482364,6.144262429000838,383.23407020482364,6.144262429000838,361.05019850805996,
4800000.0,70.9343520208163,-80.42089601143549,70.9343520208163,-80.42089601143549,384.7888273116326,6.208349677478999,384.7888273116326,6.208349677478999,362.29621162565275,
4900000.0,72.41215102124998,-80.07925930958059,72.41215102124998,-80.07925930958059,386.30470166639606,6.273266031384653,386.30470166639606,6.273266031384653,363.5012982026095,
5000000.0,73.88995002168366,-79.7377771892066,73.88995002168366,-79.7377771892066,387.7838885528566,6.338731451138388,387.7838885528566,6.338731451138388,364.66852976428396,
5100000.0,75.36774902211732,-79.39649533710468,75.36774902211732,-79.39649533710468,389.2283903379514,6.404517307606385,389.2283903379514,6.404517307606385,365.80062593839443,
5200000.0,76.845548022551,-79.05545205492395,76.845548022551,-79.05545205492395,390.6400391653394,6.470436350637007,390.6400391653394,6.470436350637007,366.9000076968335,
5300000.0,78.32334702298468,-78.71467951780812,78.32334702298468,-78.71467951780812,392.02051634380933,6.536334862242516,392.02051634380933,6.536334862242516,367.9688407252924,
5400000.0,79.80114602341834,-78.37420478762687,79.80114602341834,-78.37420478762687,393.3713689990264,6.602086464865594,393.3713689990264,6.602086464865594,369.0090710641724,
5500000.0,81.27894502385202,-78.03405063515152,81.27894502385202,-78.03405063515152,394.6940244451982,6.667587196502802,394.6940244451982,6.667587196502802,370.02245463572143,
5600000.0,82.7567440242857,-77.69423621207281,82.7567440242857,-77.69423621207281,395.9898026459998,6.732751564724473,395.9898026459998,6.732751564724473,371.0105818886016,
5700000.0,84.23454302471936,-77.3547776039714,84.23454302471936,-77.3547776039714,397.25992706552364,6.79750936369325,397.25992706552364,6.79750936369325,371.9748985087995,
5800000.0,85.71234202515303,-77.01568828814432,85.71234202515303,-77.01568828814432,398.5055341557134,6.861803090698106,398.5055341557134,6.861803090698106,372.91672293558906,
5900000.0,87.19014102558671,-76.6769795148227,87.19014102558671,-76.6769795148227,399.7276816834301,6.925585837270258,399.7276816834301,6.925585837270258,373.8372612629633,
6000000.0,88.66794002602039,-76.33866062627898,88.66794002602039,-76.33866062627898,400.9273560655355,6.988819558584878,400.9273560655355,6.988819558584878,374.73761998654066,
6100000.0,90.14573902645407,-76.00073932525272,90.14573902645407,-76.00073932525272,402.10547885228647,7.05147364633791,402.10547885228647,7.05147364633791,375.61881696342436,
6200000.0,91.62353802688774,-75.66322190177327,91.62353802688774,-75.66322190177327,403.2629124765173,7.113523746546306,403.2629124765173,7.113523746546306,376.4817908807895,
6300000.0,93.1013370273214,-75.32611342563979,93.1013370273214,-75.32611342563979,404.4004653674366,7.174950776125228,404.4004653674366,7.174950776125228,377.3274094729257,
6400000.0,94.57913602775508,-74.98941791040384,94.57913602775508,-74.98941791040384,405.5188965125487,7.2357401016351535,405.5188965125487,7.2357401016351535,378.15647668231577,
6500000.0,96.05693502818876,-74.65313845358757,96.05693502818876,-74.65313845358757,406.61891953856593,7.295880850990126,406.61891953856593,7.295880850990126,378.9697389252699,
6600000.0,97.53473402862242,-74.3172773569939,97.53473402862242,-74.3172773569939,407.7012063716881,7.35536533467437,407.7012063716881,7.35536533467437,379.7678905946641,
6700000.0,99.0125330290561,-73.98183623026658,99.0125330290561,-73.98183623026658,408.7663905288839,7.414188557546258,408.7663905288839,7.414188557546258,380.55157890979245,
6800000.0,100.49033202948978,-73.6468160802995,100.49033202948978,-73.6468160802995,409.81507008450086,7.472347805881139,409.81507008450086,7.472347805881139,381.3214082051298,
6900000.0,101.96813102992344,-73.31221738864491,101.96813102992344,-73.31221738864491,410.8478103503804,7.529842297144133,410.8478103503804,7.529842297144133,382.07794373496637,
7000000.0,103.44593003035712,-72.97804017870715,103.44593003035712,-72.97804017870715,411.86514630247314,7.586672882251714,411.86514630247314,7.586672882251714,382.8217150587407,
7100000.0,104.9237290307908,-72.64428407421205,104.9237290307908,-72.64428407421205,412.86758478255575,7.642841791901579,412.86758478255575,7.642841791901579,383.5532190619084,
7199999.999999999,106.40152803122446,-72.31094835020117,106.40152803122446,-72.31094835020117,413.8556064999314,7.6983524200197415,413.8556064999314,7.6983524200197415,384.2729226589366,
7300000.0,107.87932703165814,-71.97803197760068,107.87932703165814,-71.97803197760068,414.82966785479977,7.753209138563377,414.82966785479977,7.753209138563377,384.9812652181493,
7400000.0,109.3571260320918,-71.64553366225216,109.3571260320918,-71.64553366225216,415.7902026022741,7.807417138886807,415.7902026022741,7.807417138886807,385.6786607424398,
7500000.0,110.83492503252548,-71.31345187915586,110.83492503252548,-71.31345187915586,416.73762337368316,7.860982295672186,416.73762337368316,7.860982295672186,386.3654998350635,
7600000.0,112.31272403295915,-70.9817849025651,112.31272403295915,-70.9817849025651,417.67232306978286,7.913911050074217,417.67232306978286,7.913911050074217,387.04215147570227,
7699999.999999999,113.79052303339282,-70.65053083247578,113.79052303339282,-70.65053083247578,418.59467613877285,7.966210309266261,418.59467613877285,7.966210309266261,387.7089646285813,
7800000.0,115.26832203382651,-70.31968761797728,115.26832203382651,-70.31968761797728,419.505039750505,8.017887360015338,419.505039750505,8.017887360015338,388.36626970154197,
7900000.0,116.74612103426017,-69.98925307786283,116.74612103426017,-69.98925307786283,420.40375487696866,8.068949794284276,420.40375487696866,8.068949794284276,389.01437987250955,
8000000.0,118.22392003469385,-69.65922491884376,118.22392003469385,-69.65922491884376,421.29114728800687,8.119405445163748,421.29114728800687,8.119405445163748,389.6535922977104,
8100000.0,119.70171903512752,-69.32960075166321,119.70171903512752,-69.32960075166321,422.16752847021564,8.169262331691225,422.16752847021564,8.169262331691225,390.284189214194,
8199999.999999999,121.17951803556117,-69.00037810536543,121.17951803556117,-69.00037810536543,423.0331964761271,8.218528611330377,423.0331964761271,8.218528611330377,390.90643894767936,
8300000.000000001,122.65731703599488,-68.67155443994226,122.65731703599488,-68.67155443994226,423.88843671000495,8.267212539063662,423.88843671000495,8.267212539063662,391.52059683541097,
8399999.999999998,124.13511603642851,-68.34312715755,124.13511603642851,-68.34312715755,424.7335226559195,8.315322432199876,424.7335226559195,8.315322432199876,392.1269060725753,
8500000.0,125.6129150368622,-68.01509361246372,125.6129150368622,-68.01509361246372,425.56871655318275,8.36286664013026,425.56871655318275,8.36286664013026,392.72559848982524,
