Pressure (atm),Cantera GRI Density @120K (kg/m³),Deviation (GRI vs HEOS) (%),VdW Predicted Density @120K (kg/m³),Deviation (VdW vs HEOS) (%),CP PR Density @120K (kg/m³),Deviation (PR vs HEOS) (%),CP SRK Density @120K (kg/m³),Deviation (SRK vs HEOS) (%),CP HEOS Density @120K (kg/m³),Notes
1100000.0,21.67438533969387,-95.51383741920304,21.67438533969387,-95.51383741920304,545.4277192647835,12.892586633769803,545.4277192647835,12.892586633769803,483.1386502234935,
1200000.0000000002,23.644784006938774,-95.10826955119403,23.644784006938774,-95.10826955119403,545.7318312414391,12.903252361407834,545.7318312414391,12.903252361407834,483.3623654122289,
1300000.0,25.615182674183664,-94.7030662357411,25.615182674183664,-94.7030662357411,546.0343875142443,12.913814453708708,546.0343875142443,12.913814453708708,483.58510440553937,
1400000.0000000002,27.585581341428565,-94.29822464406242,27.585581341428565,-94.29822464406242,546.3354045639602,12.924273998920151,546.3354045639602,12.924273998920151,483.80687802268676,
1500000.0,29.55598000867346,-93.89374199064234,29.55598000867346,-93.89374199064234,546.6348985967948,12.934632070110894,546.6348985967948,12.934632070110894,484.0276968870263,
1600000.0,31.526378675918355,-93.4896155322455,31.526378675918355,-93.4896155322455,546.9328855506699,12.94488972541371,546.9328855506699,12.94488972541371,484.24757143094064,
1700000.0000000002,33.49677734316326,-93.08584256696061,33.49677734316326,-93.08584256696061,547.229381101308,12.955048008264594,547.229381101308,12.955048008264594,484.46651190061806,
1800000.0,35.46717601040815,-92.68242043327298,35.46717601040815,-92.68242043327298,547.5244006681429,12.965107947638854,547.5244006681429,12.965107947638854,484.6845283606769,
1900000.0,37.437574677653046,-92.27934650916448,37.437574677653046,-92.27934650916448,547.8179594200606,12.975070558283901,547.8179594200606,12.975070558283901,484.90163069864246,
2000000.0,39.40797334489795,-91.87661821124021,39.40797334489795,-91.87661821124021,548.1100722809781,12.984936840949375,548.1100722809781,12.984936840949375,485.11782862928095,
2100000.0,41.37837201214285,-91.47423299388056,41.37837201214285,-91.47423299388056,548.400753935264,12.994707782612084,548.400753935264,12.994707782612084,485.3331316988045,
2200000.0,43.34877067938774,-91.07218834841811,43.34877067938774,-91.07218834841811,548.6900188330067,13.00438435670047,548.6900188330067,13.00438435670047,485.547549288934,
2300000.0,45.319169346632634,-90.67048180233817,45.319169346632634,-90.67048180233817,548.9778811951353,13.013967523312697,548.9778811951353,13.013967523312697,485.7610906208485,
2400000.0,47.28956801387753,-90.26911091850225,47.28956801387753,-90.26911091850225,549.2643550183994,13.023458229433725,549.2643550183994,13.023458229433725,485.97376475900404,
2500000.0,49.259966681122435,-89.86807329439367,49.259966681122435,-89.86807329439367,549.5494540802098,13.032857409147285,549.5494540802098,13.032857409147285,486.18558061484254,
2599999.9999999995,51.23036534836732,-89.46736656138447,51.23036534836732,-89.46736656138447,549.8331919433481,13.042165983846136,549.8331919433481,13.042165983846136,486.396546950383,
2700000.0,53.20076401561222,-89.06698838402286,53.20076401561222,-89.06698838402286,550.1155819605476,13.051384862437441,550.1155819605476,13.051384862437441,486.6066723817105,
2800000.0,55.17116268285712,-88.66693645934053,55.17116268285712,-88.66693645934053,550.396637278949,13.060514941545964,550.396637278949,13.060514941545964,486.8159653823553,
2900000.0,57.14156135010202,-88.26720851617915,57.14156135010202,-88.26720851617915,550.6763708444374,13.069557105713368,550.6763708444374,13.069557105713368,487.0244342865759,
3000000.0,59.11196001734692,-87.86780231453537,59.11196001734692,-87.86780231453537,550.9547954058621,13.078512227594393,550.9547954058621,13.078512227594393,487.23208729254344,
3099999.9999999995,61.0823586845918,-87.4687156449237,61.0823586845918,-87.4687156449237,551.2319235191446,13.087381168149674,551.2319235191446,13.087381168149674,487.43893246543365,
3199999.9999999995,63.0527573518367,-87.06994632775661,63.0527573518367,-87.06994632775661,551.5077675512787,13.096164776835746,551.5077675512787,13.096164776835746,487.6449777404282,
3300000.0,65.02315601908161,-86.6714922127414,65.02315601908161,-86.6714922127414,551.782339684223,13.104863891791338,551.782339684223,13.104863891791338,487.8502309256295,
3400000.0,66.9935546863265,-86.27335117829317,66.9935546863265,-86.27335117829317,552.0556519186936,13.113479340020652,552.0556519186936,13.113479340020652,488.05469970489264,
3500000.0,68.96395335357141,-85.8755211309633,68.96395335357141,-85.8755211309633,552.3277160778582,13.122011937574047,552.3277160778582,13.122011937574047,488.2583916405749,
3600000.0,70.9343520208163,-85.47800000488328,70.9343520208163,-85.47800000488328,552.5985438109319,13.1304624897242,552.5985438109319,13.1304624897242,488.4613141762107,
3699999.9999999995,72.9047506880612,-85.08078576122271,72.9047506880612,-85.08078576122271,552.8681465966847,13.138831791141588,552.8681465966847,13.138831791141588,488.6634746391049,
3800000.0,74.87514935530609,-84.68387638766173,74.87514935530609,-84.68387638766173,553.1365357468555,13.14712062606437,553.1365357468555,13.14712062606437,488.86488024286143,
3900000.0,76.845548022551,-84.28726989787708,76.845548022551,-84.28726989787708,553.4037224094807,13.155329768466956,553.4037224094807,13.155329768466956,489.06553808983546,
4000000.0,78.8159466897959,-83.89096433104123,78.8159466897959,-83.89096433104123,553.66971757214,13.163459982225486,553.66971757214,13.163459982225486,489.2654551735203,
4099999.9999999995,80.78634535704077,-83.49495775133441,80.78634535704077,-83.49495775133441,553.9345320651178,13.171512021279492,553.9345320651178,13.171512021279492,489.46463838086936,
4199999.999999999,82.75674402428567,-83.099248247469,82.75674402428567,-83.099248247469,554.1981765644867,13.179486629791619,554.1981765644867,13.179486629791619,489.6630944945532,
