Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Adjusted Internal Energy,Enthalpy (kJ/kg),Adjusted Enthalpy,Entropy (J/g*K),Adjusted Entropy,Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,1,1.7966,0.5566,451.02,0,507.42,0,2.7421,0,0.65935,0.85262,269.38,1.9627,15.003,0.016774,vapor
300,2,3.6113,0.27691,450.37,-0.649999999999977,506.48,-0.939999999999998,2.6089,-0.1332,0.6618,0.85957,268.62,1.9635,15.013,0.016831,vapor
300,3,5.4446,0.18367,449.71,-1.31,505.54,-1.88,2.5301,-0.212,0.66428,0.86668,267.85,1.9644,15.023,0.016889,vapor
300,4,7.2968,0.13705,449.05,-1.96999999999997,504.59,-2.83000000000004,2.4736,-0.2685,0.66679,0.87398,267.08,1.9652,15.034,0.016949,vapor
300,5,9.1685,0.10907,448.38,-2.63999999999999,503.63,-3.79000000000002,2.4292,-0.3129,0.66933,0.88146,266.3,1.966,15.045,0.01701,vapor
300,6,11.06,0.090413,447.7,-3.31999999999999,502.67,-4.75,2.3924,-0.3497,0.6719,0.88914,265.51,1.9669,15.057,0.017073,vapor
300,7,12.973,0.077085,447.02,-4,501.69,-5.73000000000002,2.361,-0.3811,0.6745,0.89703,264.72,1.9677,15.07,0.017138,vapor
300,8,14.906,0.067086,446.33,-4.69,500.7,-6.72000000000003,2.3335,-0.4086,0.67714,0.90513,263.93,1.9685,15.082,0.017205,vapor
300,9,16.862,0.059306,445.63,-5.38999999999999,499.71,-7.71000000000004,2.3089,-0.4332,0.67981,0.91346,263.13,1.9694,15.096,0.017273,vapor
300,10,18.839,0.053081,444.92,-6.09999999999997,498.71,-8.71000000000004,2.2866,-0.4555,0.68252,0.92202,262.32,1.9702,15.11,0.017344,vapor
300,11,20.84,0.047985,444.21,-6.81,497.69,-9.73000000000002,2.2661,-0.476,0.68527,0.93084,261.51,1.971,15.125,0.017416,vapor
300,12,22.865,0.043736,443.49,-7.52999999999997,496.67,-10.75,2.2473,-0.4948,0.68806,0.93991,260.7,1.9718,15.14,0.017491,vapor
300,13,24.914,0.040139,442.76,-8.25999999999999,495.63,-11.79,2.2297,-0.5124,0.69089,0.94926,259.87,1.9725,15.156,0.017568,vapor
300,14,26.988,0.037054,442.02,-9,494.59,-12.83,2.2132,-0.5289,0.69376,0.9589,259.04,1.9733,15.172,0.017647,vapor
300,15,29.088,0.034379,441.28,-9.74000000000001,493.53,-13.89,2.1976,-0.5445,0.69667,0.96884,258.21,1.974,15.19,0.017729,vapor
300,16,31.215,0.032036,440.53,-10.49,492.46,-14.96,2.1828,-0.5593,0.69964,0.9791,257.37,1.9747,15.208,0.017813,vapor
300,17,33.37,0.029967,439.76,-11.26,491.38,-16.04,2.1687,-0.5734,0.70265,0.9897,256.52,1.9754,15.226,0.0179,vapor
300,18,35.553,0.028127,438.99,-12.03,490.29,-17.13,2.1553,-0.5868,0.70571,1.0007,255.66,1.9761,15.246,0.01799,vapor
300,19,37.766,0.026479,438.21,-12.81,489.18,-18.24,2.1424,-0.5997,0.70883,1.012,254.8,1.9767,15.266,0.018082,vapor
300,20,40.01,0.024994,437.42,-13.6,488.07,-19.35,2.13,-0.6121,0.712,1.0237,253.93,1.9773,15.287,0.018178,vapor
300,21,42.285,0.023649,436.61,-14.41,486.94,-20.48,2.118,-0.6241,0.71523,1.0359,253.05,1.9778,15.309,0.018277,vapor
300,22,44.594,0.022425,435.8,-15.22,485.79,-21.63,2.1064,-0.6357,0.71852,1.0485,252.16,1.9784,15.332,0.018379,vapor
300,23,46.936,0.021305,434.98,-16.04,484.63,-22.79,2.0952,-0.6469,0.72187,1.0615,251.27,1.9788,15.356,0.018485,vapor
300,24,49.314,0.020278,434.14,-16.88,483.46,-23.96,2.0842,-0.6579,0.7253,1.0751,250.36,1.9793,15.381,0.018595,vapor
300,25,51.729,0.019331,433.3,-17.72,482.27,-25.15,2.0736,-0.6685,0.72879,1.0892,249.45,1.9796,15.408,0.018709,vapor
300,26,54.182,0.018456,432.44,-18.58,481.06,-26.36,2.0632,-0.6789,0.73235,1.1039,248.53,1.98,15.435,0.018827,vapor
300,27,56.675,0.017644,431.57,-19.45,479.84,-27.58,2.053,-0.6891,0.736,1.1192,247.6,1.9802,15.463,0.01895,vapor
