Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Adjusted Internal Energy,Enthalpy (kJ/kg),Adjusted Enthalpy,Entropy (J/g*K),Adjusted Entropy,Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,1,0.081841,12.219,2720.2,0,3958.3,0,53.464,0,10.186,14.313,1319.3,-0.055235,8.9385,0.1867,vapor
300,2,0.16358,6.1131,2719.9,-0.299999999999727,3958.7,0.399999999999636,50.605,-2.859,10.187,14.316,1320.2,-0.055315,8.939,0.18684,vapor
300,3,0.24523,4.0778,2719.6,-0.599999999999909,3959.2,0.899999999999636,48.931,-4.533,10.188,14.318,1321,-0.055396,8.9396,0.18697,vapor
300,4,0.32678,3.0601,2719.3,-0.899999999999636,3959.6,1.29999999999973,47.744,-5.72,10.189,14.321,1321.9,-0.055478,8.9402,0.1871,vapor
300,5,0.40824,2.4496,2719,-1.19999999999982,3960,1.69999999999982,46.822,-6.642,10.19,14.324,1322.8,-0.05556,8.9408,0.18724,vapor
300,6,0.48959,2.0425,2718.7,-1.5,3960.5,2.19999999999982,46.069,-7.395,10.191,14.327,1323.6,-0.055644,8.9414,0.18737,vapor
300,7,0.57085,1.7518,2718.4,-1.79999999999973,3960.9,2.59999999999991,45.433,-8.031,10.191,14.329,1324.5,-0.055728,8.942,0.18749,vapor
300,8,0.65202,1.5337,2718.2,-2,3961.4,3.09999999999991,44.881,-8.583,10.192,14.332,1325.3,-0.055814,8.9427,0.18762,vapor
300,9,0.73309,1.3641,2717.9,-2.29999999999973,3961.8,3.5,44.394,-9.07,10.193,14.335,1326.2,-0.055899,8.9433,0.18775,vapor
300,10,0.81406,1.2284,2717.6,-2.59999999999991,3962.3,4,43.959,-9.505,10.194,14.338,1327,-0.055986,8.944,0.18787,vapor
300,11,0.89494,1.1174,2717.3,-2.89999999999964,3962.7,4.39999999999964,43.565,-9.899,10.195,14.34,1327.9,-0.056073,8.9447,0.188,vapor
300,12,0.97572,1.0249,2717,-3.19999999999982,3963.2,4.89999999999964,43.205,-10.259,10.196,14.343,1328.8,-0.056161,8.9454,0.18812,vapor
300,13,1.0564,0.94661,2716.7,-3.5,3963.6,5.29999999999973,42.874,-10.59,10.196,14.346,1329.6,-0.05625,8.9461,0.18824,vapor
300,13,1.0564,0.94661,2716.7,-3.5,3963.6,5.29999999999973,42.874,-10.59,10.196,14.346,1329.6,-0.05625,8.9461,0.18824,supercritical
300,13,1.0564,0.94661,2716.7,-3.5,3963.6,5.29999999999973,42.874,-10.59,10.196,14.346,1329.6,-0.05625,8.9461,0.18824,supercritical
300,14,1.137,0.87951,2716.4,-3.79999999999973,3964,5.69999999999982,42.567,-10.897,10.197,14.348,1330.5,-0.05634,8.9469,0.18836,supercritical
300,15,1.2175,0.82136,2716.1,-4.09999999999991,3964.5,6.19999999999982,42.282,-11.182,10.198,14.351,1331.3,-0.05643,8.9476,0.18848,supercritical
300,16,1.2979,0.77048,2715.8,-4.39999999999964,3964.9,6.59999999999991,42.014,-11.45,10.199,14.354,1332.2,-0.05652,8.9484,0.1886,supercritical
300,17,1.3782,0.72559,2715.6,-4.59999999999991,3965.4,7.09999999999991,41.763,-11.701,10.2,14.357,1333.1,-0.056612,8.9492,0.18871,supercritical
300,18,1.4584,0.68568,2715.3,-4.89999999999964,3965.9,7.59999999999991,41.527,-11.937,10.201,14.359,1333.9,-0.056704,8.9499,0.18883,supercritical
300,19,1.5385,0.64998,2715,-5.19999999999982,3966.3,8,41.303,-12.161,10.201,14.362,1334.8,-0.056796,8.9508,0.18894,supercritical
300,20,1.6185,0.61784,2714.7,-5.5,3966.8,8.5,41.09,-12.374,10.202,14.365,1335.6,-0.056889,8.9516,0.18905,supercritical
300,21,1.6985,0.58877,2714.4,-5.79999999999973,3967.2,8.89999999999964,40.888,-12.576,10.203,14.367,1336.5,-0.056983,8.9524,0.18916,supercritical
300,22,1.7783,0.56234,2714.1,-6.09999999999991,3967.7,9.39999999999964,40.695,-12.769,10.204,14.37,1337.4,-0.057077,8.9533,0.18927,supercritical
300,23,1.858,0.53821,2713.8,-6.39999999999964,3968.1,9.79999999999973,40.511,-12.953,10.205,14.372,1338.2,-0.057171,8.9541,0.18938,supercritical
300,24,1.9377,0.51609,2713.6,-6.59999999999991,3968.6,10.2999999999997,40.335,-13.129,10.205,14.375,1339.1,-0.057266,8.955,0.18949,supercritical
300,25,2.0172,0.49573,2713.3,-6.89999999999964,3969,10.6999999999998,40.165,-13.299,10.206,14.378,1340,-0.057362,8.9559,0.1896,supercritical
300,26,2.0967,0.47695,2713,-7.19999999999982,3969.5,11.1999999999998,40.003,-13.461,10.207,14.38,1340.8,-0.057458,8.9568,0.18971,supercritical
300,27,2.176,0.45956,2712.7,-7.5,3970,11.6999999999998,39.846,-13.618,10.208,14.383,1341.7,-0.057554,8.9577,0.18981,supercritical
300,28,2.2553,0.4434,2712.4,-7.79999999999973,3970.4,12.0999999999999,39.695,-13.769,10.209,14.385,1342.5,-0.057651,8.9587,0.18991,supercritical
300,29,2.3344,0.42837,2712.2,-8,3970.9,12.5999999999999,39.549,-13.915,10.21,14.388,1343.4,-0.057749,8.9596,0.19002,supercritical
300,30,2.4135,0.41433,2711.9,-8.29999999999973,3971.3,13,39.409,-14.055,10.21,14.391,1344.3,-0.057846,8.9606,0.19012,supercritical
300,31,2.4925,0.4012,2711.6,-8.59999999999991,3971.8,13.5,39.273,-14.191,10.211,14.393,1345.1,-0.057944,8.9616,0.19022,supercritical
300,32,2.5714,0.38889,2711.3,-8.89999999999964,3972.3,14,39.141,-14.323,10.212,14.396,1346,-0.058043,8.9626,0.19032,supercritical
300,33,2.6502,0.37733,2711,-9.19999999999982,3972.7,14.3999999999996,39.013,-14.451,10.213,14.398,1346.9,-0.058142,8.9636,0.19042,supercritical
300,34,2.7289,0.36645,2710.8,-9.39999999999964,3973.2,14.8999999999996,38.889,-14.575,10.214,14.401,1347.7,-0.058241,8.9646,0.19052,supercritical
300,35,2.8075,0.35619,2710.5,-9.69999999999982,3973.7,15.3999999999996,38.768,-14.696,10.215,14.403,1348.6,-0.05834,8.9656,0.19062,supercritical
300,36,2.886,0.3465,2710.2,-10,3974.1,15.7999999999997,38.651,-14.813,10.215,14.406,1349.5,-0.05844,8.9667,0.19071,supercritical
300,37,2.9644,0.33733,2709.9,-10.2999999999997,3974.6,16.2999999999997,38.537,-14.927,10.216,14.408,1350.3,-0.05854,8.9678,0.19081,supercritical
300,38,3.0427,0.32865,2709.6,-10.5999999999999,3975.1,16.7999999999997,38.426,-15.038,10.217,14.411,1351.2,-0.058641,8.9688,0.1909,supercritical
300,39,3.121,0.32041,2709.4,-10.7999999999997,3975.5,17.1999999999998,38.318,-15.146,10.218,14.413,1352.1,-0.058742,8.9699,0.191,supercritical
300,40,3.1991,0.31259,2709.1,-11.0999999999999,3976,17.6999999999998,38.213,-15.251,10.219,14.416,1352.9,-0.058843,8.971,0.19109,supercritical
300,41,3.2772,0.30514,2708.8,-11.3999999999996,3976.5,18.1999999999998,38.11,-15.354,10.22,14.418,1353.8,-0.058944,8.9721,0.19119,supercritical
300,42,3.3551,0.29805,2708.5,-11.6999999999998,3977,18.6999999999998,38.01,-15.454,10.22,14.421,1354.7,-0.059045,8.9733,0.19128,supercritical
300,43,3.433,0.29129,2708.3,-11.8999999999996,3977.4,19.0999999999999,37.912,-15.552,10.221,14.423,1355.5,-0.059147,8.9744,0.19137,supercritical
300,44,3.5107,0.28484,2708,-12.1999999999998,3977.9,19.5999999999999,37.816,-15.648,10.222,14.426,1356.4,-0.059249,8.9756,0.19146,supercritical
300,45,3.5884,0.27867,2707.7,-12.5,3978.4,20.0999999999999,37.723,-15.741,10.223,14.428,1357.3,-0.059351,8.9767,0.19155,supercritical
300,46,3.666,0.27278,2707.5,-12.6999999999998,3978.9,20.5999999999999,37.631,-15.833,10.224,14.431,1358.1,-0.059453,8.9779,0.19164,supercritical
300,47,3.7435,0.26713,2707.2,-13,3979.3,21,37.542,-15.922,10.225,14.433,1359,-0.059556,8.9791,0.19173,supercritical
300,48,3.8209,0.26172,2706.9,-13.2999999999997,3979.8,21.5,37.454,-16.01,10.225,14.436,1359.9,-0.059659,8.9803,0.19181,supercritical
300,49,3.8982,0.25653,2706.6,-13.5999999999999,3980.3,22,37.368,-16.096,10.226,14.438,1360.7,-0.059761,8.9815,0.1919,supercritical
300,50,3.9754,0.25155,2706.4,-13.7999999999997,3980.8,22.5,37.284,-16.18,10.227,14.44,1361.6,-0.059864,8.9828,0.19199,supercritical
300,51,4.0525,0.24676,2706.1,-14.0999999999999,3981.2,22.8999999999996,37.201,-16.263,10.228,14.443,1362.5,-0.059968,8.984,0.19207,supercritical
300,52,4.1296,0.24216,2705.8,-14.3999999999996,3981.7,23.3999999999996,37.12,-16.344,10.229,14.445,1363.4,-0.060071,8.9853,0.19216,supercritical
300,53,4.2065,0.23773,2705.6,-14.5999999999999,3982.2,23.8999999999996,37.041,-16.423,10.23,14.448,1364.2,-0.060174,8.9866,0.19224,supercritical
300,54,4.2834,0.23346,2705.3,-14.8999999999996,3982.7,24.3999999999996,36.963,-16.501,10.23,14.45,1365.1,-0.060278,8.9878,0.19233,supercritical
300,55,4.3601,0.22935,2705,-15.1999999999998,3983.2,24.8999999999996,36.887,-16.577,10.231,14.452,1366,-0.060382,8.9891,0.19241,supercritical
300,56,4.4368,0.22539,2704.8,-15.3999999999996,3983.7,25.3999999999996,36.811,-16.653,10.232,14.455,1366.9,-0.060485,8.9905,0.19249,supercritical
300,57,4.5133,0.22157,2704.5,-15.6999999999998,3984.1,25.7999999999997,36.738,-16.726,10.233,14.457,1367.7,-0.060589,8.9918,0.19257,supercritical
300,58,4.5898,0.21787,2704.2,-16,3984.6,26.2999999999997,36.665,-16.799,10.234,14.459,1368.6,-0.060693,8.9931,0.19265,supercritical
300,59,4.6662,0.21431,2704,-16.1999999999998,3985.1,26.7999999999997,36.594,-16.87,10.234,14.462,1369.5,-0.060797,8.9945,0.19274,supercritical
300,60,4.7425,0.21086,2703.7,-16.5,3985.6,27.2999999999997,36.523,-16.941,10.235,14.464,1370.3,-0.060901,8.9958,0.19282,supercritical
300,61,4.8187,0.20752,2703.4,-16.7999999999997,3986.1,27.7999999999997,36.454,-17.01,10.236,14.466,1371.2,-0.061006,8.9972,0.1929,supercritical
300,62,4.8948,0.2043,2703.2,-17,3986.6,28.2999999999997,36.387,-17.077,10.237,14.469,1372.1,-0.06111,8.9986,0.19297,supercritical
300,63,4.9708,0.20117,2702.9,-17.2999999999997,3987.1,28.7999999999997,36.32,-17.144,10.238,14.471,1373,-0.061214,9,0.19305,supercritical
300,64,5.0468,0.19815,2702.6,-17.5999999999999,3987.6,29.2999999999997,36.254,-17.21,10.239,14.473,1373.8,-0.061318,9.0014,0.19313,supercritical
300,65,5.1226,0.19521,2702.4,-17.7999999999997,3988.1,29.7999999999997,36.189,-17.275,10.239,14.476,1374.7,-0.061423,9.0028,0.19321,supercritical
300,66,5.1984,0.19237,2702.1,-18.0999999999999,3988.6,30.2999999999997,36.125,-17.339,10.24,14.478,1375.6,-0.061527,9.0043,0.19329,supercritical
300,67,5.274,0.18961,2701.9,-18.2999999999997,3989.1,30.7999999999997,36.062,-17.402,10.241,14.48,1376.5,-0.061631,9.0057,0.19336,supercritical
300,68,5.3496,0.18693,2701.6,-18.5999999999999,3989.6,31.2999999999997,36.001,-17.463,10.242,14.482,1377.4,-0.061736,9.0072,0.19344,supercritical
300,69,5.4251,0.18433,2701.3,-18.8999999999996,3990.1,31.7999999999997,35.939,-17.525,10.243,14.485,1378.2,-0.06184,9.0086,0.19352,supercritical
300,70,5.5005,0.1818,2701.1,-19.0999999999999,3990.6,32.2999999999997,35.879,-17.585,10.244,14.487,1379.1,-0.061944,9.0101,0.19359,supercritical
300,71,5.5758,0.17935,2700.8,-19.3999999999996,3991.1,32.7999999999997,35.82,-17.644,10.244,14.489,1380,-0.062048,9.0116,0.19367,supercritical
300,72,5.651,0.17696,2700.6,-19.5999999999999,3991.6,33.2999999999997,35.761,-17.703,10.245,14.491,1380.9,-0.062153,9.0131,0.19374,supercritical
300,73,5.7261,0.17464,2700.3,-19.8999999999996,3992.1,33.7999999999997,35.704,-17.76,10.246,14.494,1381.7,-0.062257,9.0146,0.19382,supercritical
300,74,5.8011,0.17238,2700,-20.1999999999998,3992.6,34.2999999999997,35.647,-17.817,10.247,14.496,1382.6,-0.062361,9.0162,0.19389,supercritical
300,75,5.8761,0.17018,2699.8,-20.3999999999996,3993.1,34.7999999999997,35.591,-17.873,10.248,14.498,1383.5,-0.062465,9.0177,0.19396,supercritical
300,76,5.9509,0.16804,2699.5,-20.6999999999998,3993.6,35.2999999999997,35.535,-17.929,10.248,14.5,1384.4,-0.062569,9.0193,0.19404,supercritical
300,77,6.0257,0.16596,2699.3,-20.8999999999996,3994.1,35.7999999999997,35.481,-17.983,10.249,14.502,1385.3,-0.062674,9.0208,0.19411,supercritical
300,78,6.1003,0.16393,2699,-21.1999999999998,3994.6,36.2999999999997,35.426,-18.038,10.25,14.505,1386.1,-0.062778,9.0224,0.19418,supercritical
300,79,6.1749,0.16195,2698.8,-21.3999999999996,3995.1,36.7999999999997,35.373,-18.091,10.251,14.507,1387,-0.062881,9.024,0.19426,supercritical
300,80,6.2494,0.16002,2698.5,-21.6999999999998,3995.6,37.2999999999997,35.32,-18.144,10.252,14.509,1387.9,-0.062985,9.0256,0.19433,supercritical
300,81,6.3238,0.15813,2698.2,-22,3996.1,37.7999999999997,35.268,-18.196,10.253,14.511,1388.8,-0.063089,9.0272,0.1944,supercritical
300,82,6.3981,0.1563,2698,-22.1999999999998,3996.6,38.2999999999997,35.217,-18.247,10.253,14.513,1389.7,-0.063193,9.0288,0.19447,supercritical
300,83,6.4723,0.1545,2697.7,-22.5,3997.1,38.7999999999997,35.166,-18.298,10.254,14.515,1390.5,-0.063296,9.0305,0.19454,supercritical
300,84,6.5465,0.15275,2697.5,-22.6999999999998,3997.6,39.2999999999997,35.116,-18.348,10.255,14.518,1391.4,-0.0634,9.0321,0.19461,supercritical
300,85,6.6205,0.15105,2697.2,-23,3998.1,39.7999999999997,35.066,-18.398,10.256,14.52,1392.3,-0.063503,9.0338,0.19468,supercritical
300,86,6.6945,0.14938,2697,-23.1999999999998,3998.6,40.2999999999997,35.017,-18.447,10.257,14.522,1393.2,-0.063607,9.0355,0.19475,supercritical
300,87,6.7683,0.14775,2696.7,-23.5,3999.2,40.8999999999996,34.969,-18.495,10.257,14.524,1394.1,-0.06371,9.0371,0.19482,supercritical
300,88,6.8421,0.14615,2696.5,-23.6999999999998,3999.7,41.3999999999996,34.921,-18.543,10.258,14.526,1395,-0.063813,9.0388,0.19489,supercritical
300,89,6.9158,0.1446,2696.2,-24,4000.2,41.8999999999996,34.874,-18.59,10.259,14.528,1395.8,-0.063916,9.0405,0.19496,supercritical
300,90,6.9894,0.14307,2696,-24.1999999999998,4000.7,42.3999999999996,34.827,-18.637,10.26,14.53,1396.7,-0.064019,9.0422,0.19503,supercritical
300,91,7.0629,0.14158,2695.7,-24.5,4001.2,42.8999999999996,34.78,-18.684,10.261,14.532,1397.6,-0.064121,9.044,0.1951,supercritical
300,92,7.1363,0.14013,2695.5,-24.6999999999998,4001.7,43.3999999999996,34.735,-18.729,10.262,14.534,1398.5,-0.064224,9.0457,0.19517,supercritical
300,93,7.2097,0.1387,2695.2,-25,4002.3,44,34.689,-18.775,10.262,14.536,1399.4,-0.064326,9.0475,0.19524,supercritical
300,94,7.2829,0.13731,2695,-25.1999999999998,4002.8,44.5,34.644,-18.82,10.263,14.538,1400.3,-0.064429,9.0492,0.19531,supercritical
300,95,7.3561,0.13594,2694.7,-25.5,4003.3,45,34.6,-18.864,10.264,14.54,1401.1,-0.064531,9.051,0.19537,supercritical
300,96,7.4292,0.1346,2694.5,-25.6999999999998,4003.8,45.5,34.556,-18.908,10.265,14.542,1402,-0.064633,9.0528,0.19544,supercritical
300,97,7.5021,0.1333,2694.2,-26,4004.3,46,34.513,-18.951,10.266,14.544,1402.9,-0.064735,9.0546,0.19551,supercritical
300,98,7.575,0.13201,2694,-26.1999999999998,4004.9,46.5999999999999,34.469,-18.995,10.266,14.547,1403.8,-0.064836,9.0564,0.19558,supercritical
300,99,7.6478,0.13076,2693.8,-26.3999999999996,4005.4,47.0999999999999,34.427,-19.037,10.267,14.549,1404.7,-0.064938,9.0582,0.19564,supercritical
300,100,7.7206,0.12952,2693.5,-26.6999999999998,4005.9,47.5999999999999,34.385,-19.079,10.268,14.551,1405.6,-0.065039,9.06,0.19571,supercritical
